fecha,CVE_ENT,def_registradas
2020-01-27,01,21
2020-01-27,02,59
2020-01-27,03,11
2020-01-27,04,13
2020-01-27,05,53
2020-01-27,06,20
2020-01-27,07,87
2020-01-27,08,79
2020-01-27,09,250
2020-01-27,10,31
2020-01-27,11,119
2020-01-27,12,44
2020-01-27,13,54
2020-01-27,14,130
2020-01-27,15,254
2020-01-27,16,87
2020-01-27,17,50
2020-01-27,18,20
2020-01-27,19,105
2020-01-27,20,57
2020-01-27,21,162
2020-01-27,22,42
2020-01-27,23,24
2020-01-27,24,60
2020-01-27,25,48
2020-01-27,26,65
2020-01-27,27,41
2020-01-27,28,54
2020-01-27,29,24
2020-01-27,30,177
2020-01-27,31,54
2020-01-27,32,23
2020-01-28,01,14
2020-01-28,02,75
2020-01-28,03,12
2020-01-28,04,18
2020-01-28,05,59
2020-01-28,06,17
2020-01-28,07,48
2020-01-28,08,78
2020-01-28,09,227
2020-01-28,10,24
2020-01-28,11,121
2020-01-28,12,43
2020-01-28,13,53
2020-01-28,14,129
2020-01-28,15,246
2020-01-28,16,81
2020-01-28,17,47
2020-01-28,18,15
2020-01-28,19,104
2020-01-28,20,76
2020-01-28,21,131
2020-01-28,22,34
2020-01-28,23,17
2020-01-28,24,40
2020-01-28,25,28
2020-01-28,26,63
2020-01-28,27,47
2020-01-28,28,39
2020-01-28,29,21
2020-01-28,30,184
2020-01-28,31,39
2020-01-28,32,22
2020-01-29,01,19
2020-01-29,02,70
2020-01-29,03,7
2020-01-29,04,16
2020-01-29,05,51
2020-01-29,06,18
2020-01-29,07,81
2020-01-29,08,65
2020-01-29,09,231
2020-01-29,10,27
2020-01-29,11,123
2020-01-29,12,49
2020-01-29,13,48
2020-01-29,14,147
2020-01-29,15,259
2020-01-29,16,90
2020-01-29,17,48
2020-01-29,18,17
2020-01-29,19,87
2020-01-29,20,79
2020-01-29,21,123
2020-01-29,22,32
2020-01-29,23,17
2020-01-29,24,44
2020-01-29,25,33
2020-01-29,26,68
2020-01-29,27,47
2020-01-29,28,36
2020-01-29,29,16
2020-01-29,30,147
2020-01-29,31,30
2020-01-29,32,26
2020-01-30,01,20
2020-01-30,02,62
2020-01-30,03,10
2020-01-30,04,18
2020-01-30,05,55
2020-01-30,06,15
2020-01-30,07,62
2020-01-30,08,73
2020-01-30,09,220
2020-01-30,10,20
2020-01-30,11,122
2020-01-30,12,54
2020-01-30,13,44
2020-01-30,14,151
2020-01-30,15,226
2020-01-30,16,88
2020-01-30,17,36
2020-01-30,18,14
2020-01-30,19,84
2020-01-30,20,63
2020-01-30,21,132
2020-01-30,22,36
2020-01-30,23,21
2020-01-30,24,43
2020-01-30,25,32
2020-01-30,26,51
2020-01-30,27,37
2020-01-30,28,49
2020-01-30,29,19
2020-01-30,30,158
2020-01-30,31,38
2020-01-30,32,28
2020-01-31,01,19
